,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
161,1500859,11301,97.6,2.0,0.4,0.0,PA,11030.0,226.0,45.0,0.0
162,1500909,19183,57.3,41.9,0.9,0.0,PA,10992.0,8038.0,173.0,0.0
163,1500958,8751,64.4,34.2,1.4,0.0,PA,5636.0,2993.0,123.0,0.0
164,1501006,3201,77.4,22.4,0.2,0.0,PA,2478.0,717.0,6.0,0.0
165,1501105,11913,93.5,4.8,1.7,0.0,PA,11139.0,572.0,203.0,0.0
166,1501204,20743,64.2,34.4,1.4,0.0,PA,13317.0,7136.0,290.0,0.0
167,1501253,1248,94.4,3.2,2.4,0.0,PA,1178.0,40.0,30.0,0.0
168,1501303,39974,75.2,16.5,8.2,0.0,PA,30060.0,6596.0,3278.0,0.0
169,1501402,1413720,48.5,31.1,9.8,10.7,PA,685654.0,439667.0,138545.0,151268.0
170,1501451,7058,78.1,21.3,0.6,0.0,PA,5512.0,1503.0,42.0,0.0
171,1501501,31409,82.7,15.2,2.2,0.0,PA,25975.0,4774.0,691.0,0.0
172,1501576,8488,91.3,6.1,2.6,0.0,PA,7750.0,518.0,221.0,0.0
173,1501600,4124,84.2,15.2,0.6,0.0,PA,3472.0,627.0,25.0,0.0
174,1501709,76117,82.0,16.3,1.7,0.0,PA,62416.0,12407.0,1294.0,0.0
175,1501725,6728,98.1,1.3,0.6,0.0,PA,6600.0,87.0,40.0,0.0
176,1501758,4289,97.8,1.0,1.2,0.0,PA,4195.0,43.0,51.0,0.0
177,1501782,32401,91.2,0.4,8.4,0.0,PA,29550.0,130.0,2722.0,0.0
178,1501808,48357,88.1,11.1,0.8,0.0,PA,42603.0,5368.0,387.0,0.0
179,1501907,8510,74.6,23.7,1.7,0.0,PA,6348.0,2017.0,145.0,0.0
180,1501956,6169,95.4,3.7,0.9,0.0,PA,5885.0,228.0,56.0,0.0
181,1502004,7823,39.9,57.6,2.5,0.0,PA,3121.0,4506.0,196.0,0.0
182,1502103,55681,78.9,14.3,6.8,0.0,PA,43932.0,7962.0,3786.0,0.0
183,1502152,24099,55.4,14.6,0.0,30.0,PA,13351.0,3518.0,0.0,7230.0
184,1502202,52214,25.0,74.5,0.5,0.0,PA,13054.0,38899.0,261.0,0.0
185,1502301,21707,96.3,1.1,2.6,0.0,PA,20904.0,239.0,564.0,0.0
186,1502400,162916,60.9,35.1,4.0,0.0,PA,99216.0,57184.0,6517.0,0.0
187,1502509,2632,91.9,3.7,4.4,0.0,PA,2419.0,97.0,116.0,0.0
188,1502608,3731,95.4,3.3,1.3,0.0,PA,3559.0,123.0,49.0,0.0
189,1502707,32926,90.5,3.2,6.3,0.0,PA,29798.0,1054.0,2074.0,0.0
190,1502756,16167,89.8,9.7,0.6,0.0,PA,14518.0,1568.0,97.0,0.0
191,1502764,3032,97.3,0.2,2.5,0.0,PA,2950.0,6.0,76.0,0.0
192,1502772,12321,93.0,6.2,0.9,0.0,PA,11459.0,764.0,111.0,0.0
193,1502806,11836,96.6,0.5,3.0,0.0,PA,11434.0,59.0,355.0,0.0
194,1502855,6179,99.3,0.5,0.2,0.0,PA,6136.0,31.0,12.0,0.0
195,1502905,12977,81.6,17.5,0.9,0.0,PA,10589.0,2271.0,117.0,0.0
196,1502939,34596,90.9,7.1,2.0,0.0,PA,31448.0,2456.0,692.0,0.0
197,1502954,16909,90.7,8.8,0.5,0.0,PA,15336.0,1488.0,85.0,0.0
198,1503002,5756,97.7,1.4,0.9,0.0,PA,5624.0,81.0,52.0,0.0
199,1503044,9191,97.6,2.2,0.2,0.0,PA,8970.0,202.0,18.0,0.0
200,1503077,8694,99.1,0.8,0.0,0.0,PA,8616.0,70.0,0.0,0.0
201,1503093,25282,88.1,11.2,0.8,0.0,PA,22273.0,2832.0,202.0,0.0
